"BoxOffDomIA" "Anno" "Sequel" "Tipo" "Fonte" "Metodo_Prod" "Genere" "Rating" "Budget"
"Juno 2007" 193.774794 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 7
"Junebug 2005" 3.296332 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 1
"Jumper 2008" 89.14795 2008 0 "Science Fiction" "Fiction Source" "Live Action" "Avventura" "PG-13" 82.5
"Joyeux Noël 2006" 1.270061 2006 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" 22
"Joy Ride 2001" 30.630203 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 23
"Journey to the Center of the Earth 2008" 111.761487 2008 0 "Science Fiction" "Fiction Source" "Live Action" "Avventura" "PG" 45
"Josie and the Pussycats 2001" 19.868346 2001 0 "Contemporary Fiction" "TV" "Live Action" "Commedia" "PG-13" 22
"Joshua 2002" 1.856028 2002 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "G" NA
"Jonah: A VeggieTales Movie 2002" 34.70628 2002 0 "Kids Fiction" "Other" "Digital Animation" "Avventura" "G" 14
"Johnson Family Vacation 2004" 39.641498 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 12
"Johnny English 2003" 36.654494 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" 45
"John Tucker Must Die 2006" 49.401894 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"John Q 2002" 96.454406 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 36
"John Carpenter s Ghosts of Mars 2001" 11.757773 2001 0 "Science Fiction" "Original Screenplay" "Live Action" "Azione" "R" 28
"Joe Somebody 2001" 31.498237 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" 38
"Joe Dirt 2001" 37.760057 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 16
"Jodhaa Akbar 2008" 3.785251 2008 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "Not Rated" NA
"Jimmy Neutron: Boy Genius 2001" 111.671123 2001 0 "Kids Fiction" "TV" "Digital Animation" "Avventura" "G" 25
"Jet Li s Hero 2004" 68.166728 2004 0 "Historical Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 17
"Jesus  Son 2000" 1.876739 2000 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" 2.5
"Jesus Camp 2006" 1.085475 2006 0 "Factual" "Real Life Events" "Live Action" "Documentario" "PG-13" NA
"Jersey Girl 2004" 32.101412 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 35
"Jeepers Creepers II 2003" 46.612234 2003 1 "Fantasy" "Original Screenplay" "Live Action" "Horror" "R" 25
"Jeepers Creepers 2001" 52.836608 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 10
"Jay and Silent Bob Strike Back 2001" 41.902575 2001 0 "Contemporary Fiction" "Other" "Live Action" "Commedia" "R" 22
"Jason X 2002" 17.125419 2002 1 "Contemporary Fiction" NA "Live Action" "Horror" "R" 14
"Jarhead 2005" 77.107747 2005 0 "Dramatization" "Fiction Source" "Live Action" "Drammatico" "R" 72
"Jackass: The Movie 2002" 87.266769 2002 0 "Contemporary Fiction" "TV" "Live Action" "Commedia" "R" 5
"Jackass: Number Two 2006" 87.667794 2006 1 "Factual" "TV" "Live Action" "Commedia" "R" 11
"Italian for Beginners 2002" 6.03929 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"It Runs in the Family 2003" 9.637217 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Isn t She Great 2000" 4.324722 2000 0 "Contemporary Fiction" "Real Life Events" "Live Action" "Commedia" "R" 36
"Irreversible 2003" 1.036557 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" NA
"Iron Monkey 2001" 20.466131 2001 0 "Historical Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" NA
"Iron Man 2008" 350.090559 2008 0 "Super Hero" "Comic/Graphic Novel" "Live Action" "Azione" "PG-13" 186
"Iris 2001" 7.580278 2001 0 "Dramatization" "Fiction Source" "Live Action" "Drammatico" "R" 5.5
"Io non ho paura 2004" 2.052055 2004 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" NA
"Invincible 2006" 69.633108 2006 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG" NA
"Intolerable Cruelty 2003" 46.223518 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 60
"Into the Wild 2007" 20.986761 2007 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" 20
"Into the Blue 2005" 22.737434 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Avventura" "PG-13" 50
"Intermission 2004" 1.13059 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Insomnia 2002" 91.343635 2002 0 "Contemporary Fiction" "Remake" "Live Action" "Thriller/Suspense" "R" 46
"Inside Man 2006" 106.621602 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 50
"Innocent Voices 2005" 1.031333 2005 0 NA NA "Live Action" "Drammatico" "R" NA
"Innocence 2001" 3.055608 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Inland Empire 2006" 0.983575 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Infamous 2006" 1.386873 2006 0 "Dramatization" "Fiction Source" "Live Action" "Drammatico" "R" 13
"Indigo 2005" 1.464755 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" NA
"Indiana Jones and the Kingdom of the Crystal Skull 2008" 348.457913 2008 1 "Historical Fiction" "Original Screenplay" "Live Action" "Avventura" "PG-13" 185
"In the Valley of Elah 2007" 7.772116 2007 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "R" 23
"In the Shadow of the Moon 2007" 1.300887 2007 0 "Factual" "Real Life Events" "Live Action" "Documentario" "PG" 2
"In the Name of the King: A Dungeon Siege Tale 2008" 5.247899 2008 0 "Fantasy" "Game" "Live Action" "Azione" "PG-13" NA
"In the Mood for Love 2001" 3.811241 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG" NA
"In the Mix 2005" 12.438482 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"In the Land of Women 2007" 12.664649 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 10.5
"In the Cut 2003" 6.172592 2003 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Thriller/Suspense" "R" 12
"In the Bedroom 2001" 48.863054 2001 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" 1.7
"In Her Shoes 2005" 40.471179 2005 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" NA
"In Good Company 2004" 56.001768 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 26
"In Bruges 2008" 8.572217 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 15
"In America 2003" 19.944358 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" NA
"Impostor 2002" 8.303152 2002 0 "Science Fiction" "Fiction Source" "Live Action" "Thriller/Suspense" "PG-13" 40
"Illegal Tender 2007" 3.502829 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" NA
"Il y a longtemps que je t aime 2008" 3.444569 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" NA
"Igor 2008" 21.455892 2008 0 "Kids Fiction" "Original Screenplay" "Digital Animation" "Commedia" "PG" 30
"Igby Goes Down 2002" 6.483055 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 9
"Idlewild 2006" 15.143001 2006 0 "Historical Fiction" "Original Screenplay" "Live Action" "Musical" "R" 15
"Identity 2003" 68.211551 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 28
"Ice Princess 2005" 30.01072 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "G" 25
"Ice Age: The Meltdown 2006" 235.29139 2006 1 "Kids Fiction" "Original Screenplay" "Digital Animation" "Avventura" "PG" 75
"Ice Age 2002" 239.534703 2002 0 "Kids Fiction" "Original Screenplay" "Digital Animation" "Avventura" "PG" 65
"I m the One That I Want 2000" 1.728068 2000 0 "Factual" "Original Screenplay" "Live Action" "Concerto" "Not Rated" NA
"I m Not There 2007" 4.565509 2007 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "R" 20
"I.O.U.S.A. 2008" 0.901732 2008 0 "Factual" "Real Life Events" "Live Action" "Documentario" "PG" NA
"I, Robot 2004" 183.967035 2004 0 "Science Fiction" "Fiction Source" "Animation/Live Action" "Azione" "PG-13" 105
"I Think I Love My Wife 2007" 14.393064 2007 0 "Contemporary Fiction" "Remake" "Live Action" "Commedia" "R" 14
"I Spy 2002" 45.55357 2002 0 "Contemporary Fiction" "TV" "Live Action" "Azione" "PG-13" 70
"I Now Pronounce You Chuck and Larry 2007" 137.301228 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 85
"I Know Who Killed Me 2007" 8.29538 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" NA
"I Heart Huckabees 2004" 16.235932 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 22
"I Dreamed of Africa 2000" 9.578073 2000 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" 34
"I Capture the Castle 2003" 1.536309 2003 0 "Historical Fiction" "Fiction Source" "Live Action" "Commedia" "R" NA
"I Am Sam 2001" 54.690434 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 22
"I am Legend 2007" 291.623655 2007 0 "Science Fiction" "Fiction Source" "Live Action" "Horror" "PG-13" 150
"Hustle & Flow 2005" 27.327954 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 2.8
"Huo Yuan Jia 2006" 29.673304 2006 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" NA
"Hum Tum 2004" 1.012161 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "Not Rated" NA
"Hulk 2003" 172.925832 2003 0 "Super Hero" "Comic/Graphic Novel" "Live Action" "Azione" "PG-13" 137
"Howl s Moving Castle 2005" 5.798045 2005 0 "Kids Fiction" "Fiction Source" "Hand Animation" "Avventura" "PG" NA
"How to Lose Friends & Alienate People 2008" 3.050061 2008 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "R" 28
"How to Lose a Guy in 10 Days 2003" 138.444662 2003 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "PG-13" 50
"How to Eat Fried Worms 2006" 15.708359 2006 0 "Kids Fiction" "Fiction Source" "Live Action" "Drammatico" "PG" NA
"How to Deal 2003" 18.460399 2003 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" 16
"How the Grinch Stole Christmas 2000" 380.173811 2000 0 "Kids Fiction" "Fiction Source" "Live Action" "Commedia" "PG" 123
"How She Move 2008" 7.769827 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" NA
"How High 2001" 43.017337 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 12
"House of Wax 2005" 39.448532 2005 0 "Contemporary Fiction" "Remake" "Live Action" "Horror" "R" 35
"House of Sand and Fog 2003" 16.728062 2003 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" 16.5
"House of Flying Daggers 2004" 13.755323 2004 0 "Historical Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 12
"House of 1,000 Corpses 2003" 16.464994 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 7
"Hotel Rwanda 2004" 28.96636 2004 0 "Dramatization" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 17.5
"Hot Rod 2007" 15.984509 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 25
"Hot Fuzz 2007" 27.086078 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 16
"Hostel: Part II 2007" 20.120431 2007 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 7.5
"Hostel 2006" 56.949326 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 4.8
"Hostage 2005" 42.633623 2005 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Azione" "R" 75
"Horton Hears a Who 2008" 169.810205 2008 0 "Fantasy" "Fiction Source" "Digital Animation" "Avventura" "G" 85
"Hors de Prix 2008" 2.378725 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Hoot 2006" 9.733143 2006 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "PG" 15
"Hoodwinked 2005" 63.251226 2005 0 "Fantasy" "Fiction Source" "Digital Animation" "Commedia" "PG" 17.5
"Honey 2003" 39.55474 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 18
"Home on the Range 2004" 63.560049 2004 0 "Kids Fiction" "Original Screenplay" "Hand Animation" "Commedia" "PG" 110
"Hollywoodland 2006" 17.377575 2006 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "R" NA
"Hollywood Homicide 2003" 39.52561 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 75
"Hollywood Ending 2002" 6.571897 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 16
"Holes 2003" 88.169014 2003 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG" 20
"Hitman 2007" 45.492912 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" 17.5
"Hitch 2005" 218.575329 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 55
"His Dark Materials: The Golden Compass 2007" 79.856702 2007 0 "Fantasy" "Fiction Source" "Live Action" "Avventura" "PG-13" 205
"Himalaya - l enfance d un chef 2001" 3.458432 2001 0 "Historical Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" NA
"Highlander: Endgame 2000" 18.738663 2000 1 "Fantasy" "Original Screenplay" "Live Action" "Azione" "R" 15
"High Tension 2005" 4.48713 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 2.85
"High School Musical 3: Senior Year 2008" 99.498739 2008 1 "Contemporary Fiction" "TV" "Live Action" "Musical" "G" 11
"High Fidelity 2000" 39.928749 2000 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "R" 20
"High Crimes 2002" 56.41582 2002 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Thriller/Suspense" "PG-13" 42
"Hide and Seek 2005" 62.895561 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 25
"Hidalgo 2004" 85.489902 2004 0 "Historical Fiction" "Original Screenplay" "Live Action" "Western" "PG-13" 78
"Hey Baby 2007" 1.618215 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "Not Rated" NA
"Hey Arnold! The Movie 2002" 18.584209 2002 0 "Kids Fiction" "TV" "Hand Animation" "Avventura" "PG" 10
"Here on Earth 2000" 15.361562 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" 15
"Herbie: Fully Loaded 2005" 81.251835 2005 1 "Kids Fiction" NA "Live Action" "Commedia" "G" 50
"Henry Poole Is Here 2008" 2.016779 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" NA
"Hellboy 2: The Golden Army 2008" 83.500485 2008 1 "Super Hero" "Comic/Graphic Novel" "Live Action" "Azione" "PG-13" 82.5
"Hellboy 2004" 75.093359 2004 0 "Super Hero" "Comic/Graphic Novel" "Live Action" "Azione" "PG-13" 60
"Held Up 2000" 6.900586 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 8
"Heist 2001" 32.735634 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" 35
"Heights 2005" 1.425865 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Hedwig and the Angry Inch 2001" 4.222515 2001 0 "Contemporary Fiction" "Other" "Live Action" "Musical" "R" 6
"Heaven 2002" 1.051524 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" NA
"Hearts in Atlantis 2001" 33.714806 2001 0 "Fantasy" "Fiction Source" "Live Action" "Drammatico" "PG-13" 31
"Heartbreakers 2001" 56.225347 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 38
"Head Over Heels 2001" 14.493851 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 14
"Head of State 2003" 49.444295 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 35.2
"He ni zai yi qi 2003" 1.498429 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG" NA
"Havana Nights: Dirty Dancing 2 2004" 17.965585 2004 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG-13" NA
"Haunted Castle 2001" 17.816685 2001 0 "Fantasy" "Original Screenplay" "Live Action" "Avventura" "PG" NA
"Hart s War 2002" 25.906381 2002 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "R" 70
"Harsh Times 2006" 4.020807 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 2
"Harry Potter and the Sorcerer s Stone 2001" 441.73904 2001 0 "Fantasy" "Fiction Source" "Animation/Live Action" "Avventura" "PG" 125
"Harry Potter and the Prisoner of Azkaban 2004" 317.009541 2004 1 NA "Fiction Source" "Animation/Live Action" "Avventura" "PG" 130
"Harry Potter and the Order of the Phoenix 2007" 334.871712 2007 1 "Fantasy" "Fiction Source" "Animation/Live Action" "Avventura" "PG-13" 150
"Harry Potter and the Goblet of Fire 2005" 356.611305 2005 1 "Fantasy" "Fiction Source" "Animation/Live Action" "Avventura" "PG-13" 150
"Harry Potter and the Chamber of Secrets 2002" 354.988111 2002 1 NA "Fiction Source" "Animation/Live Action" "Avventura" "PG" 100
"Harrison s Flowers 2002" 2.503576 2002 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" NA
"Harold & Kumar Go to White Castle 2004" 23.155643 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 9
"Harold & Kumar Escape from Guantanamo Bay 2008" 41.877138 2008 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 12
"Hardball 2001" 56.061243 2001 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" 21
"Hard Candy 2006" 1.214168 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 0.95
"Happy-Go-Lucky 2008" 3.849854 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Happy Feet 2006" 237.370508 2006 0 "Kids Fiction" "Original Screenplay" "Digital Animation" "Avventura" "PG" 85
"Happy Endings 2005" 1.614475 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Happily N Ever After 2007" 18.175704 2007 0 "Kids Fiction" "Original Screenplay" "Digital Animation" "Commedia" "PG" 47
"Hannibal Rising 2007" 31.731702 2007 0 "Historical Fiction" "Fiction Source" "Live Action" "Thriller/Suspense" "R" 50
"Hannibal 2001" 230.137059 2001 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Horror" "R" 87
"Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour 2008" 71.737221 2008 0 "Factual" "Real Life Events" "Live Action" "Concerto" "G" 6.5
"Hanging Up 2000" 52.753077 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 40
"Hancock 2008" 250.486923 2008 0 "Super Hero" "Original Screenplay" "Live Action" "Azione" "PG-13" 150
"Hamlet 2 2008" 5.36939 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 9
"Hamlet 2000" 2.296369 2000 0 "Contemporary Fiction" "Play" "Live Action" "Drammatico" "R" 2
"Halloween: Resurrection 2002" 41.092714 2002 1 "Contemporary Fiction" NA "Live Action" "Horror" "R" 15
"Halloween 2007" 66.823195 2007 1 "Fantasy" NA "Live Action" "Horror" "R" 15
"Half Past Dead 2002" 21.130982 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 25
"Half Nelson 2006" 3.249883 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Hairspray 2007" 136.322513 2007 0 "Historical Fiction" "Remake" "Live Action" "Musical" "PG" 75
"Hable con ella 2002" 12.214383 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Gwoemul 2007" 2.525171 2007 0 "Science Fiction" "Original Screenplay" "Live Action" "Azione" "R" 12
"Guru 2007" 2.403696 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" NA
"Gun Shy 2000" 2.388721 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 10
"Guess Who 2005" 83.654104 2005 0 "Contemporary Fiction" "Remake" "Live Action" "Commedia" "PG-13" 35
"Guadalupe 2006" 1.019838 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG" NA
"Groove 2000" 1.632078 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 0.5
"Grizzly Man 2005" 3.906947 2005 0 "Factual" "Real Life Events" "Live Action" "Documentario" "R" NA
"Grindhouse 2007" 28.70565 2007 0 "Fantasy" "Original Screenplay" "Live Action" "Horror" "R" 53
"Grind 2003" 6.688353 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Avventura" "PG-13" NA
"Gridiron Gang 2006" 46.295419 2006 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" 30
"Greenfingers 2001" 2.006356 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Grandma s Boy 2006" 7.333787 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 5
"Grande Seduction, La 2003" 12.185032 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "Not Rated" NA
"Gran Torino 2008" 156.2567 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 25
"Gracie 2007" 3.388842 2007 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG-13" 9
"Goya s Ghosts 2007" 1.147522 2007 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "R" NA
"Gothika 2003" 77.916748 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" NA
"Gossip 2000" 7.478402 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 14
"Gosford Park 2001" 56.104559 2001 0 "Historical Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 18
"Goodbye, Lenin! 2004" 5.163263 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 6.4
"Good Night and Good Luck 2005" 38.568868 2005 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG" 7
"Good Luck Chuck 2007" 40.157914 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 25
"Good Boy! 2003" 49.269634 2003 0 "Kids Fiction" "Fiction Source" "Live Action" "Commedia" "PG" 17
"Gonzo: The Life and Work of Dr. Hunter S. Thompson 2008" 1.375913 2008 0 "Factual" "Real Life Events" "Live Action" "Documentario" "R" NA
"Gone, Baby, Gone 2007" 23.280337 2007 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" 19
"Gone in 60 Seconds 2000" 148.787261 2000 0 "Contemporary Fiction" "Remake" "Live Action" "Azione" "PG-13" 103.3
"Gomorra 2008" 1.661516 2008 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "Not Rated" NA
"Godzilla 2000 2000" 14.692947 2000 1 "Science Fiction" "Remake" "Animation/Live Action" "Azione" "PG" 1
"Godsend 2004" 18.212613 2004 0 "Science Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 30
"Gods and Generals 2003" 16.856772 2003 1 "Historical Fiction" NA "Live Action" "Drammatico" "PG-13" 55
"God s Army 2000" 3.848134 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG" 0.3
"Goal! The Dream Begins 2006" 5.159523 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG" 33
"Glory Road 2006" 51.367135 2006 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "PG" NA
"Glitter 2001" 5.957053 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Musical" "PG-13" 8.5
"Gladiator 2000" 274.642647 2000 0 "Historical Fiction" "Original Screenplay" "Live Action" "Azione" "R" 103
"Girlfight 2000" 2.230779 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Girl with a Pearl Earring 2003" 14.814635 2003 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" 12
"Girl on the Bridge 2000" 2.508981 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Gigli 2003" 7.940685 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 54
"Ghosts of the Abyss 2003" 22.278362 2003 0 "Factual" "Real Life Events" "Live Action" "Documentario" "G" NA
"Ghost World 2001" 8.64026 2001 0 "Contemporary Fiction" "Comic/Graphic Novel" "Live Action" "Commedia" "R" 5.5
"Ghost Town 2008" 14.689492 2008 0 "Fantasy" "Original Screenplay" "Live Action" "Commedia" "PG-13" 20
"Ghost Ship 2002" 40.869561 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 20
"Ghost Rider 2007" 132.802689 2007 0 "Super Hero" "Comic/Graphic Novel" "Live Action" "Azione" "PG-13" 120
"Ghost in the Shell 2: Innocence 2004" 1.174584 2004 1 "Science Fiction" "Comic/Graphic Novel" "Hand Animation" "Azione" "Not Rated" NA
"Ghost Dog: Way of the Samurai 2000" 4.87486 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 2
"Ghajini 2008" 2.659829 2008 0 "Contemporary Fiction" "Remake" "Live Action" "Thriller/Suspense" "Not Rated" NA
"Get Smart 2008" 143.20593 2008 0 "Contemporary Fiction" "TV" "Live Action" "Commedia" "PG-13" NA
"Get Rich or Die Tryin  2005" 38.130934 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 40
